player name,team,year,td,int,starts
Kyler Murray*,crd,2020,26,12,16
Matt Ryan,atl,2020,26,11,16
Lamar Jackson,rav,2020,26,9,15
Robert Griffin III,rav,2020,0,2,1
Josh Allen*,buf,2020,37,10,16
Teddy Bridgewater,car,2020,15,11,15
P.J. Walker,car,2020,1,5,1
Nick Foles,chi,2020,10,8,7
Mitchell Trubisky,chi,2020,16,8,9
Joe Burrow,cin,2020,13,5,10
Brandon Allen,cin,2020,5,4,5
Ryan Finley,cin,2020,1,2,1
Baker Mayfield,cle,2020,26,8,16
Andy Dalton,dal,2020,14,8,9
Dak Prescott,dal,2020,9,4,5
Ben DiNucci,dal,2020,0,0,1
Garrett Gilbert,dal,2020,1,1,1
Drew Lock,den,2020,16,15,13
Jeff Driskel,den,2020,3,2,1
Brett Rypien,den,2020,2,4,1
Matthew Stafford,det,2020,26,10,16
Aaron Rodgers*+,gnb,2020,48,5,16
Deshaun Watson*,htx,2020,33,7,16
Philip Rivers,clt,2020,24,11,16
Gardner Minshew II,jax,2020,16,5,8
Mike Glennon,jax,2020,7,5,5
Jake Luton,jax,2020,2,6,3
Patrick Mahomes*,kan,2020,38,6,15
Chad Henne,kan,2020,2,0,1
Justin Herbert,sdg,2020,31,10,15
Tyrod Taylor,sdg,2020,0,0,1
Jared Goff,ram,2020,20,13,15
John Wolford,ram,2020,0,1,1
Derek Carr,rai,2020,27,9,16
Tua Tagovailoa,mia,2020,11,5,9
Ryan Fitzpatrick,mia,2020,13,8,7
Kirk Cousins,min,2020,35,13,16
Cam Newton,nwe,2020,8,10,15
Brian Hoyer,nwe,2020,0,1,1
Drew Brees,nor,2020,24,6,12
Daniel Jones,nyg,2020,11,10,14
Colt McCoy,nyg,2020,1,1,2
Sam Darnold,nyj,2020,9,11,12
Joe Flacco,nyj,2020,6,3,4
Carson Wentz,phi,2020,16,15,12
Jalen Hurts,phi,2020,6,4,4
Ben Roethlisberger,pit,2020,33,10,15
Mason Rudolph,pit,2020,2,1,1
Russell Wilson*,sea,2020,40,13,16
Nick Mullens,sfo,2020,12,12,8
Jimmy Garoppolo,sfo,2020,7,5,6
C.J. Beathard,sfo,2020,6,0,2
Tom Brady,tam,2020,40,12,16
Ryan Tannehill,oti,2020,33,7,16
Alex Smith,was,2020,6,8,6
Dwayne Haskins,was,2020,5,7,6
Kyle Allen,was,2020,4,1,4
